Date,Open,High,Low,Close,Volume
2024-09-01,290.4,294.8,279.7,283.8,1088.261
2024-09-02,283.7,299.7,280.2,295.5,1628.224
2024-09-03,295.5,303.6,283.6,285.7,2249.401
2024-09-04,285.7,299.1,276.4,291.7,2378.032
2024-09-05,291.9,295.7,281.9,285.9,1690.027
2024-09-06,286.2,293.0,262.5,274.8,2735.235
2024-09-07,274.7,284.3,271.7,275.9,1192.134
2024-09-08,275.9,286.9,274.5,284.0,938.329
2024-09-09,283.6,299.6,283.6,298.3,890.302
2024-09-10,298.0,305.0,293.9,304.0,1150.026
2024-09-11,304.0,305.6,291.5,300.5,1094.743
2024-09-12,300.5,307.8,298.9,305.7,800.248
2024-09-13,305.7,314.9,302.3,312.3,837.694
2024-09-14,312.6,313.9,307.3,311.2,682.0
2024-09-15,310.9,314.9,296.8,296.8,933.98
2024-09-16,297.0,299.0,285.5,288.9,930.024
2024-09-17,288.9,299.8,283.0,298.0,547.857
2024-09-18,297.6,299.9,284.5,291.4,1037.397
2024-09-19,290.9,294.0,287.3,287.9,4082.392
2024-09-20,287.9,290.1,275.1,287.8,2563.849
2024-09-21,287.8,294.6,286.9,292.1,1476.434
2024-09-22,292.1,292.5,277.4,283.9,1218.867
2024-09-23,283.9,297.0,279.6,293.2,1295.143
2024-09-24,293.2,297.8,287.7,296.3,978.389
