Date,Open,High,Low,Close,Volume
2024-09-01,0.1568,0.1576,0.1464,0.1472,9578865.2
2024-09-02,0.1471,0.1559,0.1448,0.1546,18148211.8
2024-09-03,0.1545,0.1606,0.1475,0.1477,23380252.9
2024-09-04,0.1479,0.1568,0.1399,0.1553,20916276.7
2024-09-05,0.1552,0.1651,0.1548,0.158,41690565.0
2024-09-06,0.158,0.1671,0.1509,0.1588,32767314.0
2024-09-07,0.1587,0.1697,0.1579,0.1649,30495231.7
2024-09-08,0.1649,0.1779,0.1637,0.1733,31795129.3
2024-09-09,0.1733,0.1848,0.1686,0.1799,27503201.0
2024-09-10,0.1799,0.1859,0.1772,0.1819,17127600.1
2024-09-11,0.1818,0.182,0.1695,0.174,24273959.0
2024-09-12,0.174,0.1856,0.174,0.1855,16432197.1
2024-09-13,0.1855,0.1884,0.178,0.1852,14007260.6
2024-09-14,0.1853,0.1854,0.1765,0.1812,9509728.6
2024-09-15,0.1812,0.1883,0.1754,0.1775,15148618.7
2024-09-16,0.1772,0.1774,0.1656,0.1702,12297730.9
2024-09-17,0.17,0.1796,0.1671,0.1734,12946853.4
2024-09-18,0.1736,0.204,0.1699,0.2015,56971136.4
2024-09-19,0.2015,0.2123,0.1997,0.2056,50620995.4
2024-09-20,0.2056,0.225,0.1986,0.2222,32482660.2
2024-09-21,0.2221,0.2263,0.2113,0.22,25650027.1
2024-09-22,0.22,0.22,0.2024,0.209,19238514.1
2024-09-23,0.209,0.2223,0.2034,0.2186,26164053.7
2024-09-24,0.2188,0.2389,0.2133,0.2364,31095340.5
