Date,Open,High,Low,Close,Volume
2024-09-01,0.4798,0.4807,0.4543,0.4584,933420.7
2024-09-02,0.4585,0.4871,0.4573,0.4833,872321.9
2024-09-03,0.4832,0.4884,0.4598,0.4606,766251.8
2024-09-04,0.4608,0.4795,0.4407,0.4711,776626.9
2024-09-05,0.4711,0.4743,0.446,0.453,1198373.8
2024-09-06,0.4529,0.4637,0.4163,0.4317,1307216.4
2024-09-07,0.4324,0.4501,0.4289,0.4405,520971.4
2024-09-08,0.4405,0.4559,0.4379,0.4498,741560.1
2024-09-09,0.4501,0.4719,0.4484,0.4674,1014978.5
2024-09-10,0.4677,0.4748,0.4615,0.4716,383048.6
2024-09-11,0.4722,0.4724,0.4493,0.4659,1058643.0
2024-09-12,0.4654,0.4779,0.464,0.4775,602784.6
2024-09-13,0.4772,0.4926,0.4728,0.4904,939389.7
2024-09-14,0.4906,0.4952,0.4811,0.4857,719855.5
2024-09-15,0.486,0.492,0.4617,0.467,581476.7
2024-09-16,0.466,0.4724,0.4517,0.4564,655462.4
2024-09-17,0.4566,0.4777,0.4505,0.4743,431418.4
2024-09-18,0.4735,0.4829,0.4537,0.4826,1383879.0
2024-09-19,0.4829,0.5092,0.4829,0.5043,1009512.0
2024-09-20,0.5045,0.5152,0.4958,0.515,1249178.6
2024-09-21,0.5147,0.5271,0.5079,0.5263,744438.8
2024-09-22,0.5265,0.5276,0.4953,0.5087,735203.7
2024-09-23,0.5088,0.5263,0.4981,0.5228,838632.8
2024-09-24,0.5229,0.5343,0.5107,0.5305,690370.0
