Date,Open,High,Low,Close,Volume
2024-09-01,1.747,1.75,1.645,1.656,2817907.62
2024-09-02,1.655,1.748,1.639,1.735,2269701.71
2024-09-03,1.735,1.767,1.665,1.669,2423840.07
2024-09-04,1.669,1.718,1.603,1.687,3268193.6
2024-09-05,1.686,1.701,1.621,1.647,2838852.81
2024-09-06,1.646,1.664,1.526,1.583,3522000.4
2024-09-07,1.583,1.621,1.569,1.596,1337375.9
2024-09-08,1.596,1.639,1.582,1.627,1467351.12
2024-09-09,1.627,1.709,1.621,1.683,2250079.06
2024-09-10,1.683,1.733,1.661,1.698,3019809.92
2024-09-11,1.698,1.741,1.645,1.718,2873490.15
2024-09-12,1.719,1.789,1.718,1.76,2498372.56
2024-09-13,1.761,1.824,1.742,1.803,2319126.53
2024-09-14,1.804,1.816,1.756,1.777,1445736.13
2024-09-15,1.777,1.823,1.762,1.778,2115639.56
2024-09-16,1.778,1.785,1.683,1.705,3330276.35
2024-09-17,1.705,1.768,1.678,1.74,1916000.35
2024-09-18,1.741,1.775,1.679,1.774,2844941.5
2024-09-19,1.775,1.88,1.772,1.847,4422852.47
2024-09-20,1.847,1.898,1.815,1.853,4212902.99
2024-09-21,1.853,2.024,1.834,2.0,7136869.07
2024-09-22,2.0,2.018,1.895,1.945,4937812.21
2024-09-23,1.945,2.085,1.913,2.039,6326876.47
2024-09-24,2.039,2.09,1.99,2.054,5910710.79
