Date,Open,High,Low,Close,Volume
2024-09-01,45.22,45.54,42.06,42.63,84095.095
2024-09-02,42.63,45.35,42.43,45.23,74739.941
2024-09-03,45.23,45.69,42.73,42.87,76497.031
2024-09-04,42.89,46.31,41.11,44.55,138330.532
2024-09-05,44.54,44.77,41.4,41.94,86306.282
2024-09-06,41.92,42.7,39.37,41.11,111234.535
2024-09-07,41.11,42.05,40.65,41.25,77593.577
2024-09-08,41.23,42.2,40.4,41.34,49728.728
2024-09-09,41.39,43.04,40.91,42.47,101990.882
2024-09-10,42.47,43.61,41.65,43.11,116365.606
2024-09-11,43.14,43.42,40.82,41.66,151071.899
2024-09-12,41.67,44.56,41.6,44.26,108780.195
2024-09-13,44.26,44.95,43.26,44.81,129721.496
2024-09-14,44.82,45.26,43.7,44.72,63816.028
2024-09-15,44.71,44.86,42.33,42.76,71705.157
2024-09-16,42.76,43.78,41.94,42.61,82482.262
2024-09-17,42.57,43.88,42.03,42.56,100122.083
2024-09-18,42.57,43.96,41.12,43.94,64497.569
2024-09-19,43.94,45.22,43.91,44.14,49703.576
2024-09-20,44.25,45.79,43.68,45.16,50571.134
2024-09-21,45.17,46.93,44.5,46.86,39189.044
2024-09-22,46.86,47.18,45.33,47.17,34760.527
2024-09-23,47.19,49.74,46.44,48.93,73876.1
2024-09-24,48.9,52.0,48.57,49.76,70412.897
