Date,Open,High,Low,Close,Volume
2024-09-01,0.1627,0.1805,0.1606,0.163,27401252.0
2024-09-02,0.163,0.1694,0.1614,0.1678,6275510.0
2024-09-03,0.1678,0.1718,0.1593,0.1597,8631312.0
2024-09-04,0.1597,0.1636,0.1531,0.1629,6025950.0
2024-09-05,0.1629,0.1636,0.154,0.156,4440457.0
2024-09-06,0.1561,0.1626,0.1474,0.151,9469347.0
2024-09-07,0.151,0.1555,0.1496,0.1531,3983310.0
2024-09-08,0.1531,0.1567,0.1512,0.1552,2866753.0
2024-09-09,0.1553,0.1641,0.1551,0.162,9942758.0
2024-09-10,0.1621,0.1624,0.1586,0.1609,4106065.0
2024-09-11,0.1609,0.1612,0.1531,0.1582,4365951.0
2024-09-12,0.1578,0.1609,0.1559,0.1603,3114466.0
2024-09-13,0.1603,0.1634,0.1585,0.1625,3139285.0
2024-09-14,0.1625,0.1671,0.1587,0.1604,5713540.0
2024-09-15,0.1603,0.1635,0.1556,0.1563,3342854.0
2024-09-16,0.1561,0.1585,0.1518,0.155,3229636.0
2024-09-17,0.155,0.1611,0.1538,0.1594,3237714.0
2024-09-18,0.1592,0.1634,0.1539,0.1621,4874987.0
2024-09-19,0.1621,0.1682,0.1606,0.1644,6279269.0
2024-09-20,0.1646,0.176,0.1619,0.1707,13019261.0
2024-09-21,0.1707,0.1736,0.165,0.1678,5744164.0
2024-09-22,0.1678,0.1697,0.1618,0.1654,5325358.0
2024-09-23,0.1653,0.1718,0.162,0.1705,5660670.0
2024-09-24,0.1705,0.1782,0.1655,0.1771,7088614.0
