Date,Open,High,Low,Close,Volume
2024-09-01,0.000768,0.00077,0.000726,0.000735,799451556.0
2024-09-02,0.000734,0.000772,0.000732,0.000771,652042983.0
2024-09-03,0.00077,0.000794,0.000738,0.00074,720176713.0
2024-09-04,0.00074,0.000773,0.00071,0.000748,2426622585.0
2024-09-05,0.000748,0.000754,0.000718,0.000725,603567592.0
2024-09-06,0.000725,0.000739,0.000669,0.000693,865244938.0
2024-09-07,0.000693,0.000718,0.000689,0.000705,760298813.0
2024-09-08,0.000704,0.000736,0.000702,0.000728,883298354.0
2024-09-09,0.000731,0.000777,0.000727,0.00077,1176230938.0
2024-09-10,0.000769,0.000804,0.000762,0.000789,1285167588.0
2024-09-11,0.000788,0.000789,0.000733,0.000762,1079057821.0
2024-09-12,0.000762,0.000789,0.000762,0.000785,612106861.0
2024-09-13,0.000786,0.00083,0.000775,0.000818,987407960.0
2024-09-14,0.000818,0.000822,0.000794,0.000805,752920366.0
2024-09-15,0.000805,0.000817,0.000768,0.000778,947755581.0
2024-09-16,0.000778,0.000781,0.000739,0.00075,806315570.0
2024-09-17,0.00075,0.000786,0.000741,0.000772,631526606.0
2024-09-18,0.000773,0.000825,0.000759,0.000823,1507822034.0
2024-09-19,0.000825,0.000867,0.000823,0.000854,1729313310.0
2024-09-20,0.000853,0.000894,0.000842,0.00088,1121352870.0
2024-09-21,0.000879,0.000908,0.000868,0.000907,851443028.0
2024-09-22,0.000906,0.000908,0.000853,0.00088,726694739.0
2024-09-23,0.00088,0.000951,0.000859,0.000935,1751158341.0
2024-09-24,0.000934,0.000979,0.000908,0.00095,2220957792.0
