Date,Open,High,Low,Close,Volume
2024-09-01,0.3464,0.3511,0.3332,0.3354,1384331.7
2024-09-02,0.3354,0.352,0.3301,0.3492,1669738.2
2024-09-03,0.3491,0.3601,0.3404,0.3419,2081771.0
2024-09-04,0.342,0.3518,0.3269,0.3494,2143860.7
2024-09-05,0.3491,0.3516,0.3342,0.337,1669604.9
2024-09-06,0.3369,0.3433,0.3127,0.3238,2333612.1
2024-09-07,0.3238,0.3308,0.3175,0.3215,910110.1
2024-09-08,0.3215,0.3336,0.3198,0.3309,938443.9
2024-09-09,0.3309,0.3498,0.3302,0.3408,2203626.9
2024-09-10,0.3408,0.3523,0.3364,0.3523,1148726.5
2024-09-11,0.3523,0.3547,0.3423,0.3533,1556123.9
2024-09-12,0.3536,0.3613,0.3483,0.3582,1557995.3
2024-09-13,0.3582,0.3805,0.3521,0.3767,3091250.2
2024-09-14,0.3767,0.3815,0.3701,0.3732,2742484.7
2024-09-15,0.3731,0.3743,0.3383,0.3394,4471432.1
2024-09-16,0.3391,0.3392,0.3122,0.3155,2140275.4
2024-09-17,0.3156,0.332,0.3125,0.3288,1424331.9
2024-09-18,0.3288,0.3412,0.3186,0.3409,1356666.5
2024-09-19,0.3409,0.3644,0.3408,0.3592,2387937.8
2024-09-20,0.3592,0.3719,0.3554,0.3697,1644233.3
2024-09-21,0.3697,0.3786,0.3626,0.3778,1450846.1
2024-09-22,0.3777,0.3786,0.3625,0.3755,1127276.2
2024-09-23,0.3754,0.3854,0.3691,0.3854,1245076.9
2024-09-24,0.3854,0.4016,0.378,0.3941,2109248.6
