Date,Open,High,Low,Close,Volume
2024-09-01,0.5515,0.586,0.5281,0.5335,5052717.0
2024-09-02,0.5327,0.5546,0.5277,0.551,2928025.0
2024-09-03,0.551,0.5626,0.5269,0.5279,2558878.0
2024-09-04,0.5285,0.5627,0.5013,0.5527,4737112.0
2024-09-05,0.5526,0.559,0.5291,0.5363,3318052.0
2024-09-06,0.5357,0.5497,0.4904,0.5052,4918459.0
2024-09-07,0.5051,0.526,0.4976,0.5099,2144163.0
2024-09-08,0.51,0.538,0.5077,0.5277,3067180.0
2024-09-09,0.5285,0.5609,0.5269,0.5531,2086486.0
2024-09-10,0.5531,0.559,0.5447,0.5547,1451871.0
2024-09-11,0.555,0.5553,0.5232,0.5382,1763251.0
2024-09-12,0.5379,0.587,0.5378,0.5827,5712646.0
2024-09-13,0.583,0.6178,0.5725,0.605,3579159.0
2024-09-14,0.6051,0.6164,0.5948,0.6157,2409454.0
2024-09-15,0.6157,0.6271,0.5933,0.6028,3441096.0
2024-09-16,0.6025,0.6115,0.5502,0.5592,4095108.0
2024-09-17,0.5588,0.6108,0.5579,0.5924,5181293.0
2024-09-18,0.5924,0.62,0.5613,0.6164,4786945.0
2024-09-19,0.6166,0.6404,0.6126,0.6262,4761504.0
2024-09-20,0.6266,0.6472,0.6063,0.623,3685576.0
2024-09-21,0.6224,0.6705,0.609,0.6484,7969437.0
2024-09-22,0.6479,0.6493,0.6013,0.6195,3869406.0
2024-09-23,0.6197,0.6563,0.6056,0.6146,5655774.0
2024-09-24,0.6147,0.7034,0.5823,0.6828,16024567.0
