Date,Open,High,Low,Close,Volume
2024-09-01,0.4808,0.4816,0.4502,0.4556,15047511.8
2024-09-02,0.4553,0.4791,0.4539,0.4758,12952002.9
2024-09-03,0.4756,0.487,0.4528,0.4539,15799557.9
2024-09-04,0.4536,0.4683,0.4318,0.4644,15616783.6
2024-09-05,0.4641,0.4715,0.4558,0.4624,13281184.2
2024-09-06,0.4624,0.4747,0.438,0.4549,19421682.7
2024-09-07,0.4551,0.4678,0.4509,0.4623,10264072.0
2024-09-08,0.4624,0.4825,0.4585,0.4807,13343401.5
2024-09-09,0.4806,0.499,0.4769,0.494,18623642.7
2024-09-10,0.494,0.4978,0.4852,0.49,12095399.2
2024-09-11,0.49,0.4965,0.4752,0.4914,14603697.6
2024-09-12,0.4913,0.5034,0.4911,0.5031,8587962.4
2024-09-13,0.5028,0.5096,0.4947,0.5057,6910181.6
2024-09-14,0.5057,0.5062,0.495,0.4983,8127547.9
2024-09-15,0.4985,0.5014,0.4785,0.4822,7527738.8
2024-09-16,0.4822,0.4835,0.4664,0.4723,8283869.7
2024-09-17,0.4723,0.4848,0.4691,0.4814,7724070.9
2024-09-18,0.4814,0.4905,0.4663,0.4903,8618679.1
2024-09-19,0.4904,0.5149,0.4902,0.5085,9693641.7
2024-09-20,0.5086,0.5194,0.5038,0.5174,8021673.0
2024-09-21,0.5173,0.5282,0.5135,0.5278,6712879.0
2024-09-22,0.5278,0.5282,0.5048,0.5176,5691154.7
2024-09-23,0.5176,0.5282,0.5092,0.5229,16738115.0
2024-09-24,0.5228,0.5297,0.5137,0.5262,17895375.6
