Date,Open,High,Low,Close,Volume
2024-09-01,0.553,0.556,0.523,0.528,2403605.68
2024-09-02,0.528,0.571,0.525,0.568,3095245.21
2024-09-03,0.568,0.599,0.547,0.548,6434101.34
2024-09-04,0.549,0.575,0.526,0.556,5608008.1
2024-09-05,0.556,0.56,0.526,0.532,2749356.37
2024-09-06,0.531,0.543,0.497,0.515,2828577.5
2024-09-07,0.515,0.525,0.507,0.515,1070052.26
2024-09-08,0.515,0.529,0.508,0.522,2241554.74
2024-09-09,0.523,0.549,0.518,0.54,2127633.69
2024-09-10,0.54,0.548,0.529,0.541,2093098.05
2024-09-11,0.54,0.549,0.522,0.546,1777050.31
2024-09-12,0.547,0.562,0.545,0.559,2247436.19
2024-09-13,0.559,0.566,0.55,0.563,1728916.81
2024-09-14,0.564,0.57,0.554,0.56,1291325.53
2024-09-15,0.56,0.563,0.537,0.542,1242256.27
2024-09-16,0.541,0.541,0.52,0.527,1700234.08
2024-09-17,0.527,0.545,0.52,0.536,1945661.61
2024-09-18,0.536,0.548,0.515,0.546,3145984.77
2024-09-19,0.548,0.578,0.543,0.568,2368206.03
2024-09-20,0.568,0.593,0.56,0.579,2717255.16
2024-09-21,0.579,0.597,0.575,0.594,1778195.65
2024-09-22,0.595,0.595,0.561,0.576,1719958.82
2024-09-23,0.577,0.593,0.565,0.59,2050014.15
2024-09-24,0.59,0.608,0.578,0.605,2338125.0
