Date,Open,High,Low,Close,Volume
2024-09-01,2.736,2.762,2.64,2.664,119908.28
2024-09-02,2.665,2.819,2.642,2.817,161199.76
2024-09-03,2.817,2.872,2.708,2.721,237876.2
2024-09-04,2.719,2.79,2.599,2.737,308124.87
2024-09-05,2.738,2.764,2.65,2.691,215932.57
2024-09-06,2.691,2.773,2.539,2.617,292534.27
2024-09-07,2.617,2.748,2.603,2.694,142743.23
2024-09-08,2.69,2.777,2.654,2.764,147516.08
2024-09-09,2.768,2.918,2.747,2.892,199466.22
2024-09-10,2.892,2.984,2.86,2.967,163441.73
2024-09-11,2.967,2.984,2.829,2.895,189011.17
2024-09-12,2.898,3.003,2.894,3.001,147089.7
2024-09-13,3.001,3.086,2.95,3.047,174711.24
2024-09-14,3.048,3.074,3.0,3.06,120007.31
2024-09-15,3.059,3.093,2.896,2.922,184751.17
2024-09-16,2.922,2.969,2.807,2.82,149672.75
2024-09-17,2.82,2.923,2.79,2.903,107096.38
2024-09-18,2.905,3.007,2.853,3.007,152855.21
2024-09-19,3.006,3.192,3.002,3.161,200979.39
2024-09-20,3.16,3.235,3.112,3.227,208513.56
2024-09-21,3.222,3.276,3.174,3.273,119696.67
2024-09-22,3.273,3.281,3.076,3.177,164947.77
2024-09-23,3.174,3.256,3.108,3.213,184646.25
2024-09-24,3.209,3.257,3.141,3.25,128514.05
