Date,Open,High,Low,Close,Volume
2024-09-01,0.1275,0.1855,0.1275,0.1463,244549796.0
2024-09-02,0.1463,0.1488,0.1227,0.1298,83211246.0
2024-09-03,0.1296,0.1765,0.128,0.1621,199695320.0
2024-09-04,0.162,0.1682,0.1402,0.1678,109771358.0
2024-09-05,0.1678,0.178,0.1551,0.1628,113907480.0
2024-09-06,0.1628,0.1628,0.144,0.1486,52719659.0
2024-09-07,0.1486,0.1598,0.1372,0.1507,54550708.0
2024-09-08,0.1507,0.156,0.14,0.1453,60084710.0
2024-09-09,0.1453,0.1475,0.1415,0.1457,35279216.0
2024-09-10,0.1457,0.1475,0.135,0.1368,34278789.0
2024-09-11,0.1369,0.1393,0.1275,0.1296,37260815.0
2024-09-12,0.1295,0.1393,0.125,0.1281,32780268.0
2024-09-13,0.1281,0.1311,0.1217,0.1254,30352395.0
2024-09-14,0.1252,0.1609,0.1237,0.1452,138530529.0
2024-09-15,0.1453,0.146,0.1305,0.1318,62322173.0
2024-09-16,0.1317,0.1343,0.1221,0.1253,31792816.0
2024-09-17,0.1254,0.1435,0.1235,0.1298,61535405.0
2024-09-18,0.1298,0.1324,0.1229,0.1317,24879164.0
2024-09-19,0.1318,0.141,0.1261,0.1281,43998380.0
2024-09-20,0.1282,0.1355,0.1242,0.1279,33895154.0
2024-09-21,0.1279,0.13,0.1259,0.1295,15507261.0
2024-09-22,0.1296,0.145,0.127,0.1299,101007279.0
2024-09-23,0.13,0.1327,0.1285,0.1295,20847878.0
2024-09-24,0.1295,0.1376,0.1277,0.1308,28156454.0
