Date,Open,High,Low,Close,Volume
2024-09-01,1.324,1.324,1.215,1.224,1868033.05
2024-09-02,1.223,1.319,1.221,1.304,1404563.809
2024-09-03,1.304,1.331,1.224,1.243,1748017.85
2024-09-04,1.243,1.297,1.169,1.273,1859631.864
2024-09-05,1.273,1.287,1.224,1.237,1201796.761
2024-09-06,1.236,1.273,1.153,1.197,1902402.392
2024-09-07,1.197,1.276,1.191,1.247,1496766.22
2024-09-08,1.246,1.33,1.235,1.291,2132399.72
2024-09-09,1.292,1.357,1.276,1.333,1496599.656
2024-09-10,1.334,1.354,1.319,1.329,1238938.718
2024-09-11,1.33,1.33,1.234,1.271,1785802.566
2024-09-12,1.271,1.335,1.269,1.324,1833723.694
2024-09-13,1.325,1.364,1.284,1.348,1855072.61
2024-09-14,1.348,1.371,1.301,1.331,2106704.561
2024-09-15,1.33,1.359,1.263,1.282,1402986.641
2024-09-16,1.281,1.292,1.228,1.247,1257850.746
2024-09-17,1.246,1.332,1.226,1.311,1745688.101
2024-09-18,1.312,1.364,1.251,1.363,2042669.763
2024-09-19,1.364,1.402,1.341,1.362,2491413.621
2024-09-20,1.363,1.426,1.337,1.392,2290688.859
2024-09-21,1.392,1.41,1.356,1.407,986849.375
2024-09-22,1.407,1.409,1.31,1.356,1143933.27
2024-09-23,1.357,1.41,1.325,1.408,2466293.491
2024-09-24,1.408,1.445,1.364,1.434,3172742.187
