Date,Open,High,Low,Close,Volume
2024-09-01,0.0049,0.00491,0.00464,0.00469,224958068.0
2024-09-02,0.0047,0.00496,0.00467,0.00494,198189495.0
2024-09-03,0.00495,0.00504,0.00469,0.0047,186893257.0
2024-09-04,0.0047,0.00492,0.00448,0.00486,266249700.0
2024-09-05,0.00485,0.00487,0.0046,0.00464,213473725.0
2024-09-06,0.00464,0.00477,0.00433,0.00448,414964918.0
2024-09-07,0.00448,0.00461,0.00444,0.00451,127996480.0
2024-09-08,0.00451,0.00466,0.00448,0.00461,108284129.0
2024-09-09,0.0046,0.00484,0.00458,0.00477,249014928.0
2024-09-10,0.00478,0.00486,0.00469,0.00481,325316883.0
2024-09-11,0.0048,0.00482,0.00461,0.00471,190725678.0
2024-09-12,0.00471,0.00486,0.00471,0.00484,180695148.0
2024-09-13,0.00485,0.00494,0.0048,0.00488,254289040.0
2024-09-14,0.00488,0.0049,0.00477,0.00481,132164732.0
2024-09-15,0.00481,0.00485,0.00459,0.00464,115448997.0
2024-09-16,0.00463,0.00469,0.0045,0.00455,211745593.0
2024-09-17,0.00455,0.00475,0.0045,0.00466,138609796.0
2024-09-18,0.00466,0.00492,0.00458,0.00489,419001652.0
2024-09-19,0.00489,0.0052,0.00485,0.00509,225269522.0
2024-09-20,0.00509,0.0053,0.00504,0.00528,171302932.0
2024-09-21,0.00528,0.0056,0.00526,0.00556,283100315.0
2024-09-22,0.00555,0.00556,0.00524,0.00539,216564223.0
2024-09-23,0.00539,0.00568,0.00529,0.00565,250587310.0
2024-09-24,0.00566,0.00572,0.00551,0.0057,182746573.0
