Date,Open,High,Low,Close,Volume
2024-09-01,0.01433,0.01664,0.01423,0.01465,404510277.2
2024-09-02,0.01464,0.01513,0.01404,0.01495,73425808.7
2024-09-03,0.01495,0.01568,0.01425,0.01425,119593287.5
2024-09-04,0.01426,0.01465,0.01338,0.01425,56000404.4
2024-09-05,0.01423,0.01447,0.01345,0.0138,53117423.7
2024-09-06,0.01382,0.01549,0.01346,0.01411,161885520.6
2024-09-07,0.01412,0.01498,0.01385,0.01454,100179662.0
2024-09-08,0.01454,0.0148,0.01421,0.01473,43143271.2
2024-09-09,0.01473,0.01492,0.01451,0.01485,43149179.4
2024-09-10,0.01482,0.0154,0.0147,0.01519,32828523.2
2024-09-11,0.01522,0.01524,0.01424,0.01487,37211582.5
2024-09-12,0.01486,0.01505,0.01446,0.01478,28608519.3
2024-09-13,0.01481,0.01537,0.01454,0.0152,44401891.7
2024-09-14,0.01516,0.01694,0.01475,0.01487,155016636.1
2024-09-15,0.01487,0.0151,0.0142,0.01432,48492356.2
2024-09-16,0.0143,0.01461,0.01373,0.01422,52327136.3
2024-09-17,0.01419,0.0149,0.014,0.01432,45017429.7
2024-09-18,0.01433,0.01464,0.0138,0.01462,32136536.0
2024-09-19,0.01462,0.0153,0.01461,0.01512,46933800.1
2024-09-20,0.01512,0.01649,0.0148,0.01524,85949732.8
2024-09-21,0.01524,0.01594,0.01501,0.01584,45078654.3
2024-09-22,0.01584,0.01633,0.01487,0.01532,92516056.0
2024-09-23,0.01534,0.01597,0.0149,0.01528,53970051.0
2024-09-24,0.01526,0.01875,0.01512,0.01574,346265208.4
