Date,Open,High,Low,Close,Volume
2024-09-01,0.3054,0.3072,0.2875,0.29,6427568.9
2024-09-02,0.2899,0.3068,0.2893,0.305,5116961.0
2024-09-03,0.3049,0.3129,0.2878,0.2889,5429176.4
2024-09-04,0.2888,0.3,0.2753,0.2946,4890403.3
2024-09-05,0.2946,0.2986,0.2824,0.2861,5561864.0
2024-09-06,0.2861,0.2934,0.2666,0.2781,3463526.9
2024-09-07,0.2779,0.2878,0.2754,0.2805,5935704.2
2024-09-08,0.2802,0.2916,0.2787,0.2876,3261930.5
2024-09-09,0.2876,0.3044,0.2863,0.3006,7630796.3
2024-09-10,0.3011,0.3111,0.2964,0.3086,5291983.2
2024-09-11,0.3086,0.3097,0.2937,0.3023,2668207.9
2024-09-12,0.3025,0.3159,0.3019,0.3154,4492534.0
2024-09-13,0.3154,0.321,0.3111,0.3183,12218092.6
2024-09-14,0.3185,0.3186,0.31,0.3143,9066949.9
2024-09-15,0.3143,0.3171,0.3006,0.3027,4337735.8
2024-09-16,0.3023,0.3049,0.2905,0.2954,10874440.6
2024-09-17,0.2951,0.3056,0.2916,0.3054,6357357.1
2024-09-18,0.3054,0.3419,0.3033,0.3306,36265251.0
2024-09-19,0.3306,0.4277,0.329,0.3897,72770679.2
2024-09-20,0.3897,0.4124,0.3722,0.3787,29691539.2
2024-09-21,0.3786,0.3921,0.3616,0.3898,8841612.4
2024-09-22,0.3898,0.3899,0.3628,0.3733,7981087.5
2024-09-23,0.3734,0.3812,0.3636,0.3773,7922285.9
2024-09-24,0.3774,0.3878,0.3712,0.3835,10241929.6
