Date,Open,High,Low,Close,Volume
2024-09-01,0.523,0.528,0.5,0.506,2717325.75
2024-09-02,0.505,0.546,0.501,0.539,2838278.84
2024-09-03,0.541,0.589,0.508,0.511,5485543.53
2024-09-04,0.512,0.538,0.483,0.519,2717902.66
2024-09-05,0.52,0.524,0.488,0.505,1997382.5
2024-09-06,0.505,0.519,0.465,0.485,2836328.21
2024-09-07,0.486,0.502,0.479,0.483,1436705.7
2024-09-08,0.484,0.508,0.479,0.504,1994263.91
2024-09-09,0.504,0.54,0.5,0.53,2162053.85
2024-09-10,0.531,0.547,0.517,0.538,1742624.4
2024-09-11,0.538,0.54,0.51,0.529,1989012.16
2024-09-12,0.528,0.539,0.52,0.531,1638349.74
2024-09-13,0.531,0.541,0.52,0.538,1467016.27
2024-09-14,0.537,0.541,0.524,0.539,1343648.91
2024-09-15,0.538,0.55,0.503,0.52,2195380.29
2024-09-16,0.52,0.521,0.496,0.505,2602846.14
2024-09-17,0.505,0.529,0.498,0.521,1954102.52
2024-09-18,0.52,0.706,0.508,0.675,50638568.52
2024-09-19,0.675,0.728,0.617,0.645,33428445.09
2024-09-20,0.645,0.663,0.603,0.62,11219903.77
2024-09-21,0.619,0.664,0.597,0.651,9080493.38
2024-09-22,0.651,0.662,0.607,0.627,12619591.06
2024-09-23,0.627,0.653,0.613,0.645,6149225.73
2024-09-24,0.645,0.662,0.622,0.646,9338144.3
