Date,Open,High,Low,Close,Volume
2024-09-01,1.059,1.074,0.99,1.004,4155818.65
2024-09-02,1.003,1.087,0.997,1.07,6357372.49
2024-09-03,1.07,1.081,0.986,0.988,6218256.88
2024-09-04,0.989,1.053,0.928,1.015,9001893.61
2024-09-05,1.016,1.022,0.958,0.966,6643830.82
2024-09-06,0.966,0.992,0.878,0.913,10159162.02
2024-09-07,0.912,0.938,0.904,0.913,6951034.92
2024-09-08,0.914,0.969,0.907,0.944,6858616.71
2024-09-09,0.945,1.02,0.941,1.006,6939450.7
2024-09-10,1.006,1.038,0.991,1.023,5596579.81
2024-09-11,1.023,1.035,0.965,1.01,6842892.27
2024-09-12,1.01,1.039,1.007,1.035,4890983.72
2024-09-13,1.036,1.08,1.011,1.061,4577799.68
2024-09-14,1.062,1.068,1.012,1.027,2986890.06
2024-09-15,1.028,1.046,0.983,0.994,4424268.13
2024-09-16,0.994,1.011,0.954,0.973,4407472.75
2024-09-17,0.974,1.018,0.954,0.991,5301353.74
2024-09-18,0.991,1.034,0.94,1.032,12347734.68
2024-09-19,1.032,1.074,1.031,1.047,9517997.81
2024-09-20,1.047,1.166,1.021,1.114,20164663.42
2024-09-21,1.115,1.154,1.084,1.148,10599510.2
2024-09-22,1.148,1.183,1.075,1.112,15057787.23
2024-09-23,1.111,1.219,1.086,1.215,9037801.54
2024-09-24,1.215,1.268,1.17,1.257,10948847.15
