Date,Open,High,Low,Close,Volume
2024-09-01,0.646,0.652,0.601,0.61,1753241.3
2024-09-02,0.61,0.663,0.608,0.654,2135184.2
2024-09-03,0.654,0.664,0.607,0.609,1829089.0
2024-09-04,0.609,0.635,0.575,0.625,1585621.6
2024-09-05,0.624,0.629,0.598,0.604,6137933.8
2024-09-06,0.604,0.618,0.54,0.575,4345595.0
2024-09-07,0.574,0.607,0.568,0.587,2996762.1
2024-09-08,0.586,0.611,0.584,0.606,1144376.7
2024-09-09,0.604,0.641,0.603,0.635,1139341.4
2024-09-10,0.635,0.647,0.625,0.635,940637.7
2024-09-11,0.634,0.637,0.598,0.6,1790593.6
2024-09-12,0.599,0.628,0.599,0.624,1322995.1
2024-09-13,0.625,0.642,0.612,0.637,1158886.6
2024-09-14,0.637,0.661,0.625,0.657,2020642.7
2024-09-15,0.658,0.688,0.607,0.612,9243215.7
2024-09-16,0.611,0.63,0.584,0.593,1748526.6
2024-09-17,0.592,0.625,0.583,0.623,1759674.5
2024-09-18,0.623,0.64,0.596,0.64,2147809.5
2024-09-19,0.64,0.686,0.64,0.684,3705984.8
2024-09-20,0.684,0.706,0.672,0.696,3863701.8
2024-09-21,0.696,0.723,0.683,0.719,1133707.9
2024-09-22,0.719,0.723,0.667,0.696,1575894.4
2024-09-23,0.696,0.724,0.682,0.713,1290575.3
2024-09-24,0.715,0.734,0.697,0.724,1673490.2
