Date,Open,High,Low,Close,Volume
2024-09-01,0.774,0.776,0.744,0.747,558953.7
2024-09-02,0.747,0.781,0.738,0.776,734990.8
2024-09-03,0.775,0.789,0.742,0.744,689920.2
2024-09-04,0.744,0.77,0.712,0.753,788579.8
2024-09-05,0.753,0.758,0.724,0.729,818162.3
2024-09-06,0.729,0.756,0.694,0.717,1059038.8
2024-09-07,0.717,0.747,0.714,0.738,484940.7
2024-09-08,0.738,0.775,0.737,0.766,578994.2
2024-09-09,0.768,0.798,0.762,0.789,772542.6
2024-09-10,0.79,0.808,0.781,0.798,610855.5
2024-09-11,0.798,0.809,0.767,0.784,2447677.3
2024-09-12,0.785,0.801,0.782,0.798,465213.9
2024-09-13,0.799,0.814,0.79,0.81,826183.7
2024-09-14,0.81,0.816,0.792,0.807,495273.2
2024-09-15,0.808,0.815,0.772,0.779,407696.4
2024-09-16,0.778,0.789,0.758,0.765,606062.9
2024-09-17,0.766,0.8,0.763,0.79,950441.2
2024-09-18,0.791,0.818,0.774,0.813,1727390.0
2024-09-19,0.814,0.848,0.81,0.837,1646848.6
2024-09-20,0.837,0.909,0.834,0.889,2471257.2
2024-09-21,0.889,0.951,0.881,0.951,2839246.6
2024-09-22,0.949,0.949,0.871,0.897,1200020.5
2024-09-23,0.897,0.931,0.881,0.927,1038197.8
2024-09-24,0.927,0.928,0.889,0.926,2540343.8
