Date,Open,High,Low,Close,Volume
2024-09-01,64.96,65.13,62.84,63.59,275100.421
2024-09-02,63.57,65.74,62.6,65.33,338228.783
2024-09-03,65.33,66.38,64.3,64.36,320522.789
2024-09-04,64.36,66.22,62.02,65.42,425540.638
2024-09-05,65.41,68.55,64.43,66.08,736165.409
2024-09-06,66.07,66.81,61.18,63.05,503464.824
2024-09-07,63.05,64.16,61.64,62.07,315700.656
2024-09-08,62.06,62.32,59.89,60.95,393724.274
2024-09-09,60.94,61.82,59.65,61.42,595870.787
2024-09-10,61.41,61.77,60.35,61.51,377145.929
2024-09-11,61.52,62.42,60.13,62.19,489748.89
2024-09-12,62.17,63.12,61.52,62.84,383572.639
2024-09-13,62.83,65.01,62.4,64.91,407124.406
2024-09-14,64.92,66.76,64.87,65.91,414127.091
2024-09-15,65.91,66.31,62.89,63.24,295654.677
2024-09-16,63.24,63.75,62.1,62.62,291156.153
2024-09-17,62.63,64.03,61.93,63.77,298536.819
2024-09-18,63.76,64.86,62.39,64.84,302989.047
2024-09-19,64.84,66.06,64.69,65.4,345158.431
2024-09-20,65.39,66.45,64.33,65.33,358959.114
2024-09-21,65.33,67.15,64.82,66.84,222813.661
2024-09-22,66.85,68.82,66.46,68.68,306313.854
2024-09-23,68.69,69.35,66.63,66.96,311939.213
2024-09-24,66.95,67.17,65.66,66.7,311050.764
