Date,Open,High,Low,Close,Volume
2024-09-01,0.1061,0.1076,0.102,0.1031,6680971.0
2024-09-02,0.1031,0.1091,0.103,0.108,7154843.0
2024-09-03,0.108,0.1109,0.1036,0.1041,7489427.0
2024-09-04,0.104,0.1074,0.0978,0.1054,10026538.0
2024-09-05,0.1055,0.1063,0.1002,0.1015,4888484.0
2024-09-06,0.1013,0.1055,0.0954,0.0991,6780674.0
2024-09-07,0.0993,0.1034,0.0982,0.0994,4634342.0
2024-09-08,0.0996,0.1038,0.0991,0.1026,4376300.0
2024-09-09,0.1027,0.1096,0.1023,0.1084,5562414.0
2024-09-10,0.1083,0.113,0.1069,0.111,10039103.0
2024-09-11,0.111,0.1171,0.1053,0.1127,17289811.0
2024-09-12,0.1126,0.116,0.1097,0.1143,6921948.0
2024-09-13,0.1144,0.1283,0.113,0.1173,34667575.0
2024-09-14,0.1172,0.121,0.1136,0.1194,10166600.0
2024-09-15,0.1196,0.1238,0.1153,0.117,12683462.0
2024-09-16,0.1168,0.124,0.1134,0.1154,17271539.0
2024-09-17,0.1152,0.1285,0.1145,0.1264,21210224.0
2024-09-18,0.1263,0.1354,0.1218,0.1316,26049195.0
2024-09-19,0.1318,0.1427,0.1268,0.1292,19688583.0
2024-09-20,0.1289,0.136,0.1277,0.1293,10463328.0
2024-09-21,0.1292,0.1349,0.1279,0.1336,5322819.0
2024-09-22,0.1336,0.1343,0.1243,0.1286,5715732.0
2024-09-23,0.129,0.1341,0.1268,0.1317,7004210.0
2024-09-24,0.1313,0.137,0.129,0.1367,5618580.0
