Date,Open,High,Low,Close,Volume
2024-09-01,1758.0,1764.0,1666.0,1688.0,4968.556
2024-09-02,1687.0,1778.0,1684.0,1758.0,5792.8848
2024-09-03,1757.0,1776.0,1668.0,1681.0,6476.5558
2024-09-04,1681.0,1707.0,1607.0,1673.0,6042.2633
2024-09-05,1672.0,1688.0,1615.0,1627.0,2938.4463
2024-09-06,1626.0,1652.0,1486.0,1532.0,6667.5467
2024-09-07,1531.0,1564.0,1522.0,1542.0,2203.9804
2024-09-08,1542.0,1574.0,1500.0,1541.0,5227.8584
2024-09-09,1541.0,1700.0,1528.0,1611.0,14720.8918
2024-09-10,1611.0,1617.0,1570.0,1608.0,5833.2206
2024-09-11,1608.0,1609.0,1526.0,1595.0,8314.9747
2024-09-12,1594.0,1633.0,1590.0,1622.0,5066.7363
2024-09-13,1621.0,1638.0,1589.0,1634.0,4087.1882
2024-09-14,1633.0,1666.0,1576.0,1604.0,6240.0773
2024-09-15,1603.0,1621.0,1520.0,1540.0,4246.2632
2024-09-16,1540.0,1542.0,1497.0,1523.0,4293.7459
2024-09-17,1523.0,1568.0,1477.0,1498.0,4931.1532
2024-09-18,1497.0,1515.0,1432.0,1515.0,6185.0298
2024-09-19,1515.0,1582.0,1510.0,1523.0,6409.4722
2024-09-20,1524.0,1590.0,1501.0,1520.0,13698.3235
2024-09-21,1520.0,1592.0,1481.0,1582.0,6238.6711
2024-09-22,1582.0,1632.0,1536.0,1583.0,11883.9054
2024-09-23,1583.0,1657.0,1550.0,1633.0,11989.8098
2024-09-24,1633.0,1641.0,1558.0,1594.0,8253.2648
