Date,Open,High,Low,Close,Volume
2024-09-01,6.87,6.89,6.45,6.47,267419.34
2024-09-02,6.46,7.0,6.42,6.94,314120.88
2024-09-03,6.94,7.1,6.54,6.57,304843.28
2024-09-04,6.57,6.91,6.14,6.76,478287.69
2024-09-05,6.76,7.0,6.65,6.77,397960.74
2024-09-06,6.76,7.2,6.35,6.65,673861.5
2024-09-07,6.65,7.17,6.57,6.82,369239.04
2024-09-08,6.81,7.4,6.79,7.14,467210.29
2024-09-09,7.15,7.51,7.03,7.34,381045.35
2024-09-10,7.34,7.44,7.11,7.3,401615.87
2024-09-11,7.3,7.32,6.78,7.01,382635.23
2024-09-12,7.0,7.3,6.94,7.27,293113.68
2024-09-13,7.27,7.68,7.1,7.58,407692.48
2024-09-14,7.58,7.7,7.32,7.42,376688.88
2024-09-15,7.41,7.58,6.79,6.87,359552.36
2024-09-16,6.87,7.05,6.55,6.67,499531.45
2024-09-17,6.67,7.87,6.57,7.85,1248065.1
2024-09-18,7.84,8.67,7.72,8.61,1650378.1
2024-09-19,8.61,9.44,8.35,8.99,1552564.4
2024-09-20,8.99,9.23,8.5,8.69,842933.82
2024-09-21,8.69,9.17,8.37,9.0,556024.61
2024-09-22,9.01,9.73,8.73,9.06,1393259.46
2024-09-23,9.06,9.83,8.83,9.16,992822.27
2024-09-24,9.16,9.26,8.52,9.1,784419.41
