Date,Open,High,Low,Close,Volume
2024-09-01,0.01093,0.01103,0.01036,0.01044,91658244.5
2024-09-02,0.01044,0.01148,0.01041,0.01141,119577124.9
2024-09-03,0.0114,0.01156,0.01074,0.01076,88795394.9
2024-09-04,0.01078,0.01151,0.01017,0.01113,109214927.8
2024-09-05,0.01113,0.01122,0.01073,0.0109,89005047.2
2024-09-06,0.0109,0.01114,0.0101,0.01047,152425212.1
2024-09-07,0.01047,0.01092,0.01035,0.01065,62287744.3
2024-09-08,0.01065,0.01109,0.01057,0.01097,77621055.4
2024-09-09,0.01099,0.01197,0.01099,0.01174,138063430.9
2024-09-10,0.01174,0.01195,0.01145,0.01176,97456665.6
2024-09-11,0.01176,0.01189,0.01123,0.01147,95000828.7
2024-09-12,0.01147,0.01211,0.01147,0.01201,81363204.6
2024-09-13,0.01201,0.01266,0.0117,0.01231,134437639.3
2024-09-14,0.01232,0.01281,0.01227,0.01268,109765166.3
2024-09-15,0.01268,0.01276,0.01154,0.01166,154471328.4
2024-09-16,0.01165,0.01181,0.01118,0.01141,162806138.3
2024-09-17,0.01141,0.012,0.01127,0.01196,106491686.7
2024-09-18,0.01196,0.0125,0.01134,0.01242,142401494.8
2024-09-19,0.01243,0.01316,0.01243,0.01281,135995817.5
2024-09-20,0.01282,0.0136,0.01265,0.01345,112946644.9
2024-09-21,0.01344,0.01449,0.01314,0.01407,155364035.5
2024-09-22,0.01407,0.01407,0.01309,0.01364,106497550.2
2024-09-23,0.01365,0.01439,0.01336,0.01417,183001699.7
2024-09-24,0.01416,0.01442,0.01375,0.01427,126204350.1
