Date,Open,High,Low,Close,Volume
2024-09-01,0.1639,0.1644,0.1549,0.1566,3833205.0
2024-09-02,0.1565,0.1677,0.1562,0.1663,3550818.0
2024-09-03,0.1664,0.1698,0.1594,0.1596,2747624.0
2024-09-04,0.1598,0.1678,0.1526,0.1654,3711887.0
2024-09-05,0.1655,0.1668,0.1594,0.161,1955968.0
2024-09-06,0.1609,0.1644,0.1504,0.1551,5454252.0
2024-09-07,0.155,0.1612,0.1539,0.1586,1426739.0
2024-09-08,0.1586,0.1646,0.1577,0.1628,1833163.0
2024-09-09,0.1629,0.1723,0.1617,0.17,3273888.0
2024-09-10,0.17,0.174,0.1681,0.1726,2298529.0
2024-09-11,0.1726,0.1729,0.1654,0.1698,4343401.0
2024-09-12,0.1697,0.1795,0.1694,0.1768,8792788.0
2024-09-13,0.1768,0.1777,0.1723,0.1767,6024850.0
2024-09-14,0.1766,0.177,0.1708,0.1735,2904721.0
2024-09-15,0.1735,0.1744,0.1653,0.1668,2382477.0
2024-09-16,0.1667,0.1679,0.1619,0.1635,2785359.0
2024-09-17,0.1636,0.1716,0.1623,0.1701,2446508.0
2024-09-18,0.1701,0.1735,0.1629,0.1734,4367470.0
2024-09-19,0.1735,0.1819,0.1732,0.1819,3952017.0
2024-09-20,0.1817,0.1915,0.1793,0.1906,7263684.0
2024-09-21,0.1907,0.232,0.189,0.2053,75252916.0
2024-09-22,0.2053,0.2054,0.1862,0.1919,13526998.0
2024-09-23,0.1917,0.1966,0.1875,0.1937,7350231.0
2024-09-24,0.1937,0.201,0.1912,0.1997,7162173.0
