Date,Open,High,Low,Close,Volume
2024-09-01,0.07095,0.07167,0.05873,0.05888,854117203.3
2024-09-02,0.05887,0.06322,0.05592,0.06192,938120120.9
2024-09-03,0.06193,0.06384,0.05786,0.05805,479556544.8
2024-09-04,0.05805,0.06274,0.05542,0.06084,746110165.6
2024-09-05,0.06084,0.06178,0.05788,0.05953,362825924.7
2024-09-06,0.05947,0.06272,0.04984,0.05181,1339547676.3
2024-09-07,0.05181,0.05497,0.05013,0.05139,721000814.0
2024-09-08,0.05141,0.05428,0.05073,0.05309,427675970.2
2024-09-09,0.0531,0.06432,0.05239,0.06272,1252716001.8
2024-09-10,0.06273,0.06482,0.06163,0.06338,768200134.0
2024-09-11,0.06337,0.06355,0.05801,0.05919,643901553.8
2024-09-12,0.0592,0.06032,0.05655,0.05773,453747477.9
2024-09-13,0.05774,0.05994,0.05623,0.05903,397625397.7
2024-09-14,0.05905,0.06149,0.05804,0.06,417099860.0
2024-09-15,0.05999,0.06024,0.05677,0.05718,288112067.7
2024-09-16,0.05717,0.05829,0.05407,0.05549,405413541.3
2024-09-17,0.05548,0.05946,0.05488,0.0572,344718354.1
2024-09-18,0.05727,0.06071,0.05472,0.06061,480527053.9
2024-09-19,0.06062,0.06538,0.0606,0.06353,606191685.4
2024-09-20,0.06352,0.06693,0.06095,0.06432,481828181.3
2024-09-21,0.06434,0.06475,0.06123,0.06406,242620908.4
2024-09-22,0.06406,0.06496,0.06038,0.0637,423164618.7
2024-09-23,0.06371,0.0692,0.06199,0.06473,583344146.7
2024-09-24,0.06473,0.06798,0.0618,0.06725,552202996.8
