Date,Open,High,Low,Close,Volume
2024-09-01,0.2109,0.2116,0.2003,0.2023,9507031.4
2024-09-02,0.2023,0.2134,0.2,0.212,10277113.4
2024-09-03,0.2118,0.2163,0.1999,0.201,8802405.0
2024-09-04,0.201,0.2105,0.1905,0.207,11636280.6
2024-09-05,0.2069,0.2083,0.1969,0.198,6469858.2
2024-09-06,0.198,0.2067,0.1891,0.1986,21296930.9
2024-09-07,0.1986,0.209,0.1961,0.2044,7821200.8
2024-09-08,0.2042,0.2171,0.2027,0.2132,9592194.8
2024-09-09,0.2132,0.2244,0.2093,0.2215,16097475.2
2024-09-10,0.2216,0.2249,0.2172,0.2219,10741736.0
2024-09-11,0.2221,0.2223,0.2115,0.2191,12034460.5
2024-09-12,0.2191,0.2273,0.2173,0.2258,10140734.7
2024-09-13,0.2259,0.2309,0.2204,0.2293,13066179.1
2024-09-14,0.2293,0.2361,0.2236,0.2267,15252162.6
2024-09-15,0.2267,0.2302,0.2152,0.217,12475619.8
2024-09-16,0.2169,0.2184,0.2112,0.2151,13161963.2
2024-09-17,0.215,0.2286,0.2142,0.2244,16830702.4
2024-09-18,0.2245,0.2314,0.2119,0.2312,18662062.5
2024-09-19,0.2313,0.2495,0.2293,0.2415,27324979.6
2024-09-20,0.2416,0.2607,0.2387,0.251,36619466.7
2024-09-21,0.2511,0.2718,0.2496,0.2677,48959518.8
2024-09-22,0.2679,0.2679,0.244,0.2532,17213676.4
2024-09-23,0.2533,0.2652,0.2433,0.2595,20377456.7
2024-09-24,0.2594,0.2728,0.2527,0.2723,17453336.6
