Date,Open,High,Low,Close,Volume
2024-09-01,2.297,2.334,2.219,2.234,200294.58
2024-09-02,2.233,2.343,2.215,2.34,229616.28
2024-09-03,2.339,2.362,2.242,2.247,291952.99
2024-09-04,2.248,2.358,2.17,2.317,245163.31
2024-09-05,2.314,2.325,2.231,2.248,158813.43
2024-09-06,2.248,2.292,2.13,2.192,253712.45
2024-09-07,2.193,2.268,2.177,2.232,173556.14
2024-09-08,2.231,2.297,2.174,2.194,571147.63
2024-09-09,2.194,2.279,2.187,2.265,376866.8
2024-09-10,2.265,2.304,2.244,2.289,92375.07
2024-09-11,2.29,2.291,2.189,2.246,252589.9
2024-09-12,2.243,2.285,2.216,2.227,176282.96
2024-09-13,2.227,2.276,2.218,2.255,212424.55
2024-09-14,2.258,2.266,2.242,2.257,97027.93
2024-09-15,2.257,2.28,2.172,2.182,148506.48
2024-09-16,2.182,2.207,2.15,2.193,175802.09
2024-09-17,2.193,2.231,2.17,2.218,113904.64
2024-09-18,2.22,2.257,2.161,2.257,144526.99
2024-09-19,2.254,2.305,2.233,2.264,263581.79
2024-09-20,2.264,2.336,2.23,2.326,217973.29
2024-09-21,2.326,2.353,2.3,2.334,186785.46
2024-09-22,2.334,2.341,2.243,2.299,108935.67
2024-09-23,2.299,2.33,2.26,2.306,144524.9
2024-09-24,2.309,2.339,2.271,2.333,123917.64
