Date,Open,High,Low,Close,Volume
2024-09-01,0.1746,0.1778,0.1647,0.1672,80804244.0
2024-09-02,0.1671,0.1775,0.157,0.1714,105154723.2
2024-09-03,0.1713,0.1771,0.1511,0.1521,72829025.8
2024-09-04,0.1521,0.1534,0.1389,0.146,117803903.8
2024-09-05,0.146,0.1465,0.1372,0.1427,69680624.9
2024-09-06,0.1426,0.1525,0.1339,0.1419,128117686.7
2024-09-07,0.1419,0.1537,0.1405,0.145,76308715.3
2024-09-08,0.145,0.1519,0.1372,0.1464,79497687.5
2024-09-09,0.1464,0.1703,0.1459,0.1633,171319831.7
2024-09-10,0.1632,0.1633,0.1518,0.154,98928811.9
2024-09-11,0.154,0.1541,0.1393,0.142,80334272.4
2024-09-12,0.1419,0.1448,0.1378,0.1401,68374517.2
2024-09-13,0.1402,0.1439,0.1346,0.1416,60732440.9
2024-09-14,0.1416,0.1499,0.1377,0.1441,102865493.4
2024-09-15,0.1441,0.1585,0.138,0.1397,169272475.1
2024-09-16,0.1397,0.1405,0.1254,0.127,139923740.4
2024-09-17,0.127,0.132,0.1247,0.1284,62755141.9
2024-09-18,0.1284,0.131,0.1196,0.1308,73762730.4
2024-09-19,0.131,0.136,0.1297,0.1324,63449070.6
2024-09-20,0.1325,0.1381,0.1276,0.1305,60978788.7
2024-09-21,0.1305,0.1328,0.1259,0.1322,32173087.5
2024-09-22,0.1323,0.134,0.1268,0.131,60812366.3
2024-09-23,0.131,0.1356,0.1282,0.1334,55313992.7
2024-09-24,0.1335,0.1391,0.1303,0.1373,50350822.1
