Date,Open,High,Low,Close,Volume
2024-09-01,0.0855,0.0861,0.0751,0.0754,268182809.0
2024-09-02,0.0754,0.0959,0.0744,0.0919,366419121.0
2024-09-03,0.092,0.0964,0.0895,0.0935,301154014.0
2024-09-04,0.0936,0.0958,0.0869,0.0895,292737459.0
2024-09-05,0.0894,0.09,0.083,0.0848,152034496.0
2024-09-06,0.0849,0.0854,0.0767,0.0798,136649373.0
2024-09-07,0.0798,0.0814,0.0757,0.0769,77145674.0
2024-09-08,0.0769,0.0804,0.0758,0.0783,84804750.0
2024-09-09,0.0783,0.0837,0.0774,0.0818,112751710.0
2024-09-10,0.0817,0.0825,0.0788,0.0806,112988980.0
2024-09-11,0.0807,0.0807,0.0753,0.0789,89178287.0
2024-09-12,0.0789,0.0839,0.0781,0.0792,110895067.0
2024-09-13,0.0792,0.082,0.0777,0.0806,65928206.0
2024-09-14,0.0805,0.0812,0.0777,0.079,40780360.0
2024-09-15,0.0789,0.0791,0.0721,0.0729,60946545.0
2024-09-16,0.0728,0.073,0.0705,0.0716,45847466.0
2024-09-17,0.0716,0.0745,0.0709,0.073,51455070.0
2024-09-18,0.073,0.075,0.0701,0.0749,73798633.0
2024-09-19,0.075,0.0794,0.0742,0.0777,67970195.0
2024-09-20,0.0777,0.0809,0.0763,0.0783,76788163.0
2024-09-21,0.0783,0.0802,0.0758,0.0797,44314802.0
2024-09-22,0.0798,0.0802,0.0741,0.0766,52120192.0
2024-09-23,0.0767,0.0799,0.0751,0.0785,66422615.0
2024-09-24,0.0784,0.0804,0.0758,0.0797,65076060.0
