Date,Open,High,Low,Close,Volume
2024-09-01,1.661,1.663,1.519,1.521,1672849.25
2024-09-02,1.522,1.631,1.479,1.591,3105619.7
2024-09-03,1.591,1.614,1.492,1.495,1739958.68
2024-09-04,1.495,1.537,1.431,1.512,1856169.18
2024-09-05,1.511,1.521,1.462,1.476,970724.88
2024-09-06,1.475,1.5,1.37,1.406,1717086.02
2024-09-07,1.405,1.468,1.4,1.444,800216.25
2024-09-08,1.445,1.473,1.425,1.459,681785.8
2024-09-09,1.46,1.522,1.454,1.517,997193.88
2024-09-10,1.516,1.541,1.502,1.532,836752.48
2024-09-11,1.534,1.543,1.481,1.499,1386591.15
2024-09-12,1.5,1.545,1.497,1.541,836477.89
2024-09-13,1.541,1.592,1.514,1.589,727000.74
2024-09-14,1.589,1.592,1.511,1.524,1333247.73
2024-09-15,1.524,1.534,1.456,1.467,716737.08
2024-09-16,1.466,1.469,1.426,1.452,985686.53
2024-09-17,1.451,1.497,1.432,1.478,1375853.17
2024-09-18,1.478,1.513,1.434,1.505,1396322.57
2024-09-19,1.506,1.612,1.506,1.592,1566865.92
2024-09-20,1.592,1.66,1.567,1.625,1144797.34
2024-09-21,1.625,1.655,1.605,1.651,645712.88
2024-09-22,1.65,1.659,1.581,1.616,934665.97
2024-09-23,1.617,1.751,1.587,1.737,2664791.46
2024-09-24,1.737,1.837,1.723,1.8,4050141.38
