Date,Open,High,Low,Close,Volume
2024-09-01,11.01,11.24,10.53,10.65,50363.89
2024-09-02,10.65,11.39,10.53,11.29,60121.96
2024-09-03,11.29,11.45,10.73,10.77,84943.73
2024-09-04,10.75,10.9,10.16,10.61,75570.12
2024-09-05,10.61,10.77,9.85,9.88,67120.74
2024-09-06,9.88,10.13,9.0,9.29,106896.01
2024-09-07,9.31,9.93,8.84,9.04,147696.7
2024-09-08,9.05,9.55,8.92,9.42,73692.48
2024-09-09,9.44,13.26,9.33,11.64,1442338.99
2024-09-10,11.66,12.3,11.06,11.27,800685.85
2024-09-11,11.25,11.28,9.91,10.14,583410.27
2024-09-12,10.15,10.32,9.96,10.23,159448.07
2024-09-13,10.23,10.5,10.05,10.3,166209.12
2024-09-14,10.31,10.49,10.11,10.27,86766.36
2024-09-15,10.25,10.37,9.73,9.85,80730.94
2024-09-16,9.85,9.88,9.2,9.37,148625.34
2024-09-17,9.38,9.81,9.31,9.65,95876.49
2024-09-18,9.65,9.85,9.29,9.85,118288.08
2024-09-19,9.85,10.43,9.82,10.3,230388.09
2024-09-20,10.3,10.88,10.13,10.81,263160.15
2024-09-21,10.81,10.94,10.14,10.62,155535.54
2024-09-22,10.65,11.62,10.33,11.26,532113.44
2024-09-23,11.25,11.69,10.83,11.02,252347.6
2024-09-24,11.03,11.24,10.67,11.19,138289.07
