Date,Open,High,Low,Close,Volume
2024-09-01,0.2023,0.2053,0.1964,0.1974,2705793.1
2024-09-02,0.1978,0.2093,0.1975,0.2078,3667583.1
2024-09-03,0.2078,0.2116,0.1954,0.1962,3235311.1
2024-09-04,0.1962,0.204,0.1877,0.2029,3795064.0
2024-09-05,0.2025,0.2047,0.1902,0.1938,2685249.5
2024-09-06,0.1936,0.2021,0.1847,0.1918,4054508.0
2024-09-07,0.1918,0.195,0.1872,0.1892,2228424.9
2024-09-08,0.1889,0.1954,0.1877,0.1944,2287146.1
2024-09-09,0.1944,0.2029,0.1933,0.1977,4188840.6
2024-09-10,0.1975,0.201,0.1951,0.1957,3446820.1
2024-09-11,0.1955,0.1961,0.1855,0.1898,4056066.3
2024-09-12,0.1894,0.1927,0.189,0.1902,2204177.3
2024-09-13,0.1902,0.1951,0.1888,0.1927,5449463.4
2024-09-14,0.1929,0.1997,0.1905,0.1973,3746755.0
2024-09-15,0.1973,0.202,0.189,0.1904,4415658.4
2024-09-16,0.1904,0.1923,0.1801,0.184,4120291.2
2024-09-17,0.1839,0.1907,0.182,0.1907,2621135.8
2024-09-18,0.1905,0.2017,0.1873,0.201,4542087.8
2024-09-19,0.2012,0.2158,0.1951,0.2104,5262823.7
2024-09-20,0.2104,0.2237,0.2076,0.2211,4912949.5
2024-09-21,0.2215,0.23,0.2166,0.2252,5508618.0
2024-09-22,0.2251,0.2259,0.2073,0.2147,3989821.9
2024-09-23,0.2147,0.225,0.2104,0.2197,3574341.1
2024-09-24,0.2197,0.2244,0.215,0.2221,2455944.9
