Date,Open,High,Low,Close,Volume
2024-09-01,0.03093,0.03109,0.0293,0.02975,50741477.0
2024-09-02,0.02974,0.03307,0.02947,0.0321,134892946.0
2024-09-03,0.0321,0.03241,0.0305,0.03089,57381752.0
2024-09-04,0.03087,0.03196,0.02907,0.03139,59180978.0
2024-09-05,0.03138,0.03157,0.02967,0.0301,42657474.0
2024-09-06,0.03007,0.03089,0.02821,0.02929,60975684.0
2024-09-07,0.02928,0.03002,0.02901,0.02938,42076622.0
2024-09-08,0.02938,0.03045,0.02915,0.02996,40946734.0
2024-09-09,0.03,0.03205,0.02998,0.0316,68350984.0
2024-09-10,0.0316,0.03226,0.03098,0.03192,43257980.0
2024-09-11,0.03194,0.03204,0.03055,0.03153,38810063.0
2024-09-12,0.03153,0.03453,0.0315,0.03351,124009082.0
2024-09-13,0.03348,0.03376,0.0324,0.0335,50665542.0
2024-09-14,0.03353,0.03386,0.03303,0.0336,34251197.0
2024-09-15,0.03358,0.0339,0.03184,0.03217,43100456.0
2024-09-16,0.03216,0.03225,0.03028,0.03067,39555658.0
2024-09-17,0.03067,0.03305,0.03005,0.03249,66271422.0
2024-09-18,0.03246,0.03325,0.03136,0.03325,52343523.0
2024-09-19,0.03326,0.03614,0.03325,0.03501,81611234.0
2024-09-20,0.03503,0.03633,0.03434,0.03484,51907344.0
2024-09-21,0.03485,0.038,0.03398,0.03675,82804692.0
2024-09-22,0.03671,0.03681,0.03396,0.03516,38296725.0
2024-09-23,0.03515,0.0365,0.03429,0.03558,64105674.0
2024-09-24,0.0356,0.03854,0.0344,0.0382,100458681.0
