Date,Open,High,Low,Close,Volume
2024-09-01,19.34,19.57,18.11,18.23,238188.736
2024-09-02,18.23,20.14,18.18,19.97,283449.446
2024-09-03,19.97,20.3,18.61,18.64,213835.108
2024-09-04,18.65,19.63,17.42,18.88,281807.511
2024-09-05,18.88,19.15,18.04,18.18,227407.741
2024-09-06,18.17,18.79,16.71,17.6,319959.725
2024-09-07,17.6,18.49,17.45,17.99,180241.023
2024-09-08,17.99,19.16,17.88,18.69,204356.466
2024-09-09,18.69,19.54,18.5,19.27,249864.202
2024-09-10,19.27,19.54,18.78,19.19,151672.647
2024-09-11,19.2,19.21,17.94,18.67,219116.367
2024-09-12,18.67,20.72,18.66,20.64,400416.932
2024-09-13,20.64,20.93,19.67,20.51,276110.747
2024-09-14,20.51,20.58,19.66,19.88,159284.915
2024-09-15,19.89,21.15,19.16,19.39,331625.164
2024-09-16,19.38,20.02,18.83,19.18,276899.321
2024-09-17,19.18,20.63,18.88,20.1,279768.487
2024-09-18,20.1,21.88,19.82,21.85,610985.454
2024-09-19,21.84,23.07,21.59,22.04,520712.769
2024-09-20,22.04,23.7,21.35,22.74,446627.051
2024-09-21,22.74,22.93,22.0,22.89,174108.221
2024-09-22,22.91,23.55,21.39,22.49,326764.619
2024-09-23,22.48,24.0,21.75,23.52,491003.743
2024-09-24,23.55,24.59,23.27,24.27,410862.112
