Date,Open,High,Low,Close,Volume
2024-09-01,62.1,64.37,59.31,60.19,167078.178
2024-09-02,60.19,68.42,57.4,60.33,569806.288
2024-09-03,60.34,60.57,56.85,57.97,200378.124
2024-09-04,58.0,58.63,53.93,56.96,179313.603
2024-09-05,56.96,58.53,56.01,57.22,116992.804
2024-09-06,57.23,58.18,51.88,54.42,202114.936
2024-09-07,54.42,57.19,54.24,56.06,84939.314
2024-09-08,56.06,58.29,55.59,57.29,91345.932
2024-09-09,57.3,61.66,56.9,60.96,153311.297
2024-09-10,60.97,64.25,59.6,62.75,107708.622
2024-09-11,62.75,62.99,59.29,60.92,149557.723
2024-09-12,60.91,62.64,59.51,61.18,104405.6
2024-09-13,61.18,67.03,60.7,64.81,196884.427
2024-09-14,64.86,66.12,63.34,64.72,104338.506
2024-09-15,64.72,66.0,61.24,61.87,125436.321
2024-09-16,61.87,62.13,57.33,58.42,147789.601
2024-09-17,58.42,61.33,57.79,60.16,134149.781
2024-09-18,60.16,64.45,57.98,64.34,158458.061
2024-09-19,64.35,69.9,63.54,67.02,222781.706
2024-09-20,67.1,70.61,65.64,69.6,159790.791
2024-09-21,69.63,69.67,67.25,68.71,86169.856
2024-09-22,68.71,69.01,64.82,66.37,101657.944
2024-09-23,66.37,77.9,64.64,73.81,318416.822
2024-09-24,73.81,74.58,70.94,74.0,214591.117
