Date,Open,High,Low,Close,Volume
2024-09-01,0.02183,0.02189,0.02067,0.02088,176000575.9
2024-09-02,0.02088,0.02183,0.0206,0.02178,137836904.5
2024-09-03,0.02177,0.02225,0.02077,0.02078,152031261.3
2024-09-04,0.02083,0.02189,0.01984,0.02142,191574573.1
2024-09-05,0.02142,0.02151,0.02047,0.02064,113482818.0
2024-09-06,0.02062,0.02115,0.01938,0.01998,238178431.5
2024-09-07,0.01998,0.0205,0.01995,0.02019,87591345.6
2024-09-08,0.0202,0.02096,0.02005,0.02073,85235609.5
2024-09-09,0.02074,0.02193,0.02056,0.0216,132850619.0
2024-09-10,0.0216,0.0222,0.0214,0.02193,130755672.0
2024-09-11,0.02193,0.02196,0.02082,0.02164,150750562.6
2024-09-12,0.02164,0.02235,0.02141,0.02233,154294718.1
2024-09-13,0.02233,0.02283,0.02194,0.02273,140298549.5
2024-09-14,0.02273,0.02282,0.02209,0.0223,84451955.3
2024-09-15,0.0223,0.02247,0.02114,0.02142,104844082.4
2024-09-16,0.02139,0.0218,0.02072,0.02093,173250486.8
2024-09-17,0.02092,0.02165,0.02072,0.0212,176220845.4
2024-09-18,0.0212,0.02194,0.02089,0.02192,182715652.4
2024-09-19,0.02192,0.023,0.02191,0.02268,272475609.1
2024-09-20,0.02268,0.0244,0.02245,0.02389,386522980.4
2024-09-21,0.02388,0.02435,0.02354,0.02426,160424381.2
2024-09-22,0.02427,0.02429,0.02308,0.02374,148747804.4
2024-09-23,0.02375,0.02429,0.02319,0.024,163387867.1
2024-09-24,0.02401,0.02496,0.02373,0.02476,289391119.4
