Date,Open,High,Low,Close,Volume
2024-09-01,0.354,0.3549,0.3368,0.341,1778102.44
2024-09-02,0.341,0.485,0.3404,0.4374,48088197.31
2024-09-03,0.438,0.46,0.3963,0.4024,30655561.8
2024-09-04,0.4023,0.4231,0.3758,0.3879,9299233.91
2024-09-05,0.3879,0.4436,0.3747,0.4225,15699007.21
2024-09-06,0.4228,0.4271,0.3777,0.3916,17923473.65
2024-09-07,0.3917,0.4037,0.3812,0.3888,6626513.23
2024-09-08,0.3882,0.4387,0.3851,0.4135,18850900.28
2024-09-09,0.4137,0.435,0.4011,0.4287,9862159.36
2024-09-10,0.4287,0.48,0.4231,0.4443,20635858.92
2024-09-11,0.4442,0.4626,0.4111,0.4178,6340691.09
2024-09-12,0.4178,0.4546,0.4167,0.439,6225486.91
2024-09-13,0.4394,0.4492,0.419,0.4327,4292304.02
2024-09-14,0.4322,0.445,0.4186,0.4291,3833744.16
2024-09-15,0.4295,0.4319,0.407,0.4093,1963963.66
2024-09-16,0.409,0.466,0.3949,0.3994,14858726.59
2024-09-17,0.3999,0.4133,0.3933,0.411,4177975.09
2024-09-18,0.411,0.416,0.388,0.4148,2833302.11
2024-09-19,0.4151,0.4385,0.414,0.4292,3913381.31
2024-09-20,0.4298,0.4564,0.4211,0.4331,5647523.97
2024-09-21,0.4331,0.4625,0.432,0.4389,6961634.4
2024-09-22,0.4395,0.5231,0.43,0.453,19931534.05
2024-09-23,0.4531,0.475,0.4406,0.4631,7766329.91
2024-09-24,0.463,0.4743,0.4477,0.46,3538398.72
