Date,Open,High,Low,Close,Volume
2024-09-01,8.89e-05,8.9e-05,8.64e-05,8.68e-05,5660676145.0
2024-09-02,8.68e-05,9.26e-05,8.62e-05,9.09e-05,13001605474.0
2024-09-03,9.09e-05,9.25e-05,8.7e-05,8.71e-05,7051601388.0
2024-09-04,8.72e-05,9e-05,8.57e-05,8.89e-05,10729377698.0
2024-09-05,8.88e-05,8.95e-05,8.6e-05,8.64e-05,4995880635.0
2024-09-06,8.64e-05,8.66e-05,8.32e-05,8.46e-05,8454373516.0
2024-09-07,8.46e-05,8.71e-05,8.42e-05,8.59e-05,4023225588.0
2024-09-08,8.6e-05,9.11e-05,8.55e-05,8.84e-05,19729361736.0
2024-09-09,8.84e-05,9.07e-05,8.78e-05,9.04e-05,6585682809.0
2024-09-10,9.05e-05,9.11e-05,8.95e-05,8.98e-05,5853185091.0
2024-09-11,8.98e-05,8.99e-05,8.74e-05,8.94e-05,5697664650.0
2024-09-12,8.94e-05,9.08e-05,8.81e-05,8.95e-05,5863756787.0
2024-09-13,8.93e-05,9.07e-05,8.82e-05,8.92e-05,5691254955.0
2024-09-14,8.93e-05,8.96e-05,8.73e-05,8.82e-05,4691936472.0
2024-09-15,8.82e-05,8.88e-05,8.71e-05,8.74e-05,3892399952.0
2024-09-16,8.73e-05,8.81e-05,8.31e-05,8.39e-05,7995848760.0
2024-09-17,8.38e-05,8.6e-05,8.35e-05,8.49e-05,4318930756.0
2024-09-18,8.49e-05,8.56e-05,8.34e-05,8.55e-05,5100000095.0
2024-09-19,8.56e-05,9.12e-05,8.55e-05,8.99e-05,11538576216.0
2024-09-20,8.98e-05,9.2e-05,8.94e-05,9.14e-05,8266245875.0
2024-09-21,9.14e-05,9.28e-05,9.05e-05,9.24e-05,5743627384.0
2024-09-22,9.24e-05,9.24e-05,8.95e-05,9.09e-05,5171492280.0
2024-09-23,9.1e-05,9.24e-05,8.98e-05,9.21e-05,7521892922.0
2024-09-24,9.21e-05,9.37e-05,9.12e-05,9.26e-05,8056999735.0
