Date,Open,High,Low,Close,Volume
2024-09-01,0.131,0.1364,0.1247,0.1266,2915930.1
2024-09-02,0.1266,0.136,0.1255,0.1356,1979866.4
2024-09-03,0.1359,0.1386,0.1286,0.1293,3311839.6
2024-09-04,0.1295,0.1337,0.1239,0.131,3181889.4
2024-09-05,0.131,0.1321,0.1235,0.1248,2191029.8
2024-09-06,0.1248,0.1262,0.1141,0.1176,3691146.5
2024-09-07,0.1177,0.1242,0.117,0.1225,2416117.8
2024-09-08,0.1224,0.1252,0.1208,0.1244,1814660.7
2024-09-09,0.1244,0.1304,0.1243,0.129,3687066.5
2024-09-10,0.129,0.133,0.1267,0.1322,2243811.7
2024-09-11,0.1322,0.1324,0.1263,0.1312,3181025.9
2024-09-12,0.131,0.1345,0.1307,0.1343,1652087.4
2024-09-13,0.1345,0.1352,0.1307,0.1348,1923994.9
2024-09-14,0.135,0.135,0.1311,0.1323,1117293.2
2024-09-15,0.1322,0.1338,0.1229,0.123,1842057.5
2024-09-16,0.123,0.1233,0.1148,0.1175,2845688.7
2024-09-17,0.1175,0.1223,0.117,0.1221,2556012.7
2024-09-18,0.1221,0.1258,0.1171,0.1256,2050854.7
2024-09-19,0.1257,0.1343,0.1253,0.1316,3161983.9
2024-09-20,0.1316,0.1364,0.129,0.1347,3200545.1
2024-09-21,0.1347,0.1361,0.1329,0.1359,1891306.9
2024-09-22,0.1359,0.1361,0.1266,0.13,2271079.0
2024-09-23,0.13,0.1327,0.127,0.1305,1593435.9
2024-09-24,0.1305,0.1345,0.1272,0.1339,2122868.4
