Date,Open,High,Low,Close,Volume
2024-09-01,0.1887,0.1925,0.1782,0.1803,25961199.0
2024-09-02,0.1802,0.1949,0.1787,0.1931,18838993.0
2024-09-03,0.1931,0.196,0.1831,0.1836,20740773.5
2024-09-04,0.1838,0.1914,0.1714,0.1858,27772670.3
2024-09-05,0.1858,0.1871,0.1767,0.1791,17793795.2
2024-09-06,0.1791,0.1862,0.1655,0.1728,41046962.9
2024-09-07,0.1728,0.1806,0.1718,0.177,19907427.3
2024-09-08,0.1771,0.1857,0.1755,0.1824,16944817.5
2024-09-09,0.1828,0.1927,0.1803,0.1881,29708133.1
2024-09-10,0.1882,0.1889,0.1827,0.1847,24037616.1
2024-09-11,0.1848,0.1851,0.1727,0.1758,28398883.1
2024-09-12,0.1756,0.19,0.1755,0.1887,30020639.4
2024-09-13,0.1888,0.193,0.1851,0.1908,31377046.3
2024-09-14,0.1907,0.1935,0.1854,0.1898,17799695.2
2024-09-15,0.1899,0.1927,0.1768,0.1789,19153480.7
2024-09-16,0.1787,0.1823,0.1717,0.1746,27155901.2
2024-09-17,0.1746,0.1885,0.1713,0.187,25616873.2
2024-09-18,0.1871,0.195,0.178,0.1946,40296086.0
2024-09-19,0.1947,0.209,0.1937,0.203,65407975.5
2024-09-20,0.2031,0.2152,0.1994,0.2038,42334614.9
2024-09-21,0.2037,0.2103,0.1995,0.2098,22068903.0
2024-09-22,0.2098,0.212,0.1954,0.2035,30623647.0
2024-09-23,0.2033,0.2207,0.1986,0.217,50881576.2
2024-09-24,0.2171,0.2293,0.21,0.2261,51125407.7
