Date,Open,High,Low,Close,Volume
2024-09-01,0.2903,0.2914,0.2741,0.2764,2375122.0
2024-09-02,0.2761,0.2958,0.2745,0.2933,5940999.0
2024-09-03,0.2932,0.298,0.2767,0.2769,2843681.0
2024-09-04,0.277,0.29,0.2637,0.285,3881679.0
2024-09-05,0.2848,0.2868,0.2701,0.2716,3427633.0
2024-09-06,0.2717,0.2767,0.2546,0.264,5018297.0
2024-09-07,0.2638,0.2735,0.262,0.2678,2048632.0
2024-09-08,0.2679,0.2794,0.2667,0.2719,2666280.0
2024-09-09,0.272,0.2865,0.2711,0.2836,3494376.0
2024-09-10,0.2842,0.2897,0.2812,0.2834,2898044.0
2024-09-11,0.2834,0.2839,0.2723,0.2768,3330000.0
2024-09-12,0.277,0.2874,0.277,0.2863,3849762.0
2024-09-13,0.2862,0.3064,0.2828,0.2987,9737611.0
2024-09-14,0.2987,0.2992,0.291,0.2934,3388474.0
2024-09-15,0.2936,0.2969,0.2838,0.2855,4014424.0
2024-09-16,0.2855,0.2898,0.2745,0.2769,3500483.0
2024-09-17,0.2767,0.2878,0.2728,0.2848,3257412.0
2024-09-18,0.2847,0.2966,0.2728,0.2965,4502972.0
2024-09-19,0.2966,0.321,0.2951,0.315,9739133.0
2024-09-20,0.3149,0.3338,0.309,0.3281,12968495.0
2024-09-21,0.3281,0.3452,0.3223,0.3451,11380496.0
2024-09-22,0.3451,0.3451,0.3145,0.3237,5919072.0
2024-09-23,0.3239,0.335,0.3166,0.3332,5519156.0
2024-09-24,0.3334,0.34,0.3251,0.3399,9778592.0
